CancerType,Duration,Race,Sex,Age,Count
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,0-19,648
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,20-29,2021
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,30-39,5660
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,40-49,16444
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,50-59,43914
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,60-69,55837
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,70-79,53928
Colon and Rectum,5-year Limited Duration,All Races and Ethnicities,Female,80+,48908
Colon and Rectum,5-year Limited Duration,White,Male and Female,All Ages,395789
Colon and Rectum,5-year Limited Duration,White,Male and Female,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,White,Male and Female,0-19,1030
Colon and Rectum,5-year Limited Duration,White,Male and Female,20-29,3151
Colon and Rectum,5-year Limited Duration,White,Male and Female,30-39,9029
Colon and Rectum,5-year Limited Duration,White,Male and Female,40-49,27051
Colon and Rectum,5-year Limited Duration,White,Male and Female,50-59,77352
Colon and Rectum,5-year Limited Duration,White,Male and Female,60-69,103705
Colon and Rectum,5-year Limited Duration,White,Male and Female,70-79,98037
Colon and Rectum,5-year Limited Duration,White,Male and Female,80+,76435
Colon and Rectum,5-year Limited Duration,White,Male,All Ages,208948
Colon and Rectum,5-year Limited Duration,White,Male,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,White,Male,0-19,421
Colon and Rectum,5-year Limited Duration,White,Male,20-29,1424
Colon and Rectum,5-year Limited Duration,White,Male,30-39,4556
Colon and Rectum,5-year Limited Duration,White,Male,40-49,14193
Colon and Rectum,5-year Limited Duration,White,Male,50-59,43340
Colon and Rectum,5-year Limited Duration,White,Male,60-69,59358
Colon and Rectum,5-year Limited Duration,White,Male,70-79,52523
Colon and Rectum,5-year Limited Duration,White,Male,80+,33133
Colon and Rectum,5-year Limited Duration,White,Female,All Ages,186842
Colon and Rectum,5-year Limited Duration,White,Female,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,White,Female,0-19,609
Colon and Rectum,5-year Limited Duration,White,Female,20-29,1728
Colon and Rectum,5-year Limited Duration,White,Female,30-39,4473
Colon and Rectum,5-year Limited Duration,White,Female,40-49,12858
Colon and Rectum,5-year Limited Duration,White,Female,50-59,34012
Colon and Rectum,5-year Limited Duration,White,Female,60-69,44347
Colon and Rectum,5-year Limited Duration,White,Female,70-79,45514
Colon and Rectum,5-year Limited Duration,White,Female,80+,43302
Colon and Rectum,5-year Limited Duration,Black,Male and Female,All Ages,57091
Colon and Rectum,5-year Limited Duration,Black,Male and Female,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,Black,Male and Female,0-19,57
Colon and Rectum,5-year Limited Duration,Black,Male and Female,20-29,376
Colon and Rectum,5-year Limited Duration,Black,Male and Female,30-39,1459
Colon and Rectum,5-year Limited Duration,Black,Male and Female,40-49,4654
Colon and Rectum,5-year Limited Duration,Black,Male and Female,50-59,14710
Colon and Rectum,5-year Limited Duration,Black,Male and Female,60-69,17861
Colon and Rectum,5-year Limited Duration,Black,Male and Female,70-79,11676
Colon and Rectum,5-year Limited Duration,Black,Male and Female,80+,6296
Colon and Rectum,5-year Limited Duration,Black,Male,All Ages,28004
Colon and Rectum,5-year Limited Duration,Black,Male,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,Black,Male,0-19,32
Colon and Rectum,5-year Limited Duration,Black,Male,20-29,165
Colon and Rectum,5-year Limited Duration,Black,Male,30-39,638
Colon and Rectum,5-year Limited Duration,Black,Male,40-49,2209
Colon and Rectum,5-year Limited Duration,Black,Male,50-59,7331
Colon and Rectum,5-year Limited Duration,Black,Male,60-69,9388
Colon and Rectum,5-year Limited Duration,Black,Male,70-79,5717
Colon and Rectum,5-year Limited Duration,Black,Male,80+,2524
Colon and Rectum,5-year Limited Duration,Black,Female,All Ages,29086
Colon and Rectum,5-year Limited Duration,Black,Female,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,Black,Female,0-19,25
Colon and Rectum,5-year Limited Duration,Black,Female,20-29,211
Colon and Rectum,5-year Limited Duration,Black,Female,30-39,821
Colon and Rectum,5-year Limited Duration,Black,Female,40-49,2446
Colon and Rectum,5-year Limited Duration,Black,Female,50-59,7379
Colon and Rectum,5-year Limited Duration,Black,Female,60-69,8473
Colon and Rectum,5-year Limited Duration,Black,Female,70-79,5959
Colon and Rectum,5-year Limited Duration,Black,Female,80+,3772
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,All Ages,23972
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,0-19,26
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,20-29,180
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,30-39,731
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,40-49,2260
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,50-59,5516
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,60-69,6756
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,70-79,5266
Colon and Rectum,5-year Limited Duration,Other races,Male and Female,80+,3237
Colon and Rectum,5-year Limited Duration,Other races,Male,All Ages,12541
Colon and Rectum,5-year Limited Duration,Other races,Male,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,Other races,Male,0-19,12
Colon and Rectum,5-year Limited Duration,Other races,Male,20-29,98
Colon and Rectum,5-year Limited Duration,Other races,Male,30-39,365
Colon and Rectum,5-year Limited Duration,Other races,Male,40-49,1119
Colon and Rectum,5-year Limited Duration,Other races,Male,50-59,2992
Colon and Rectum,5-year Limited Duration,Other races,Male,60-69,3739
Colon and Rectum,5-year Limited Duration,Other races,Male,70-79,2812
Colon and Rectum,5-year Limited Duration,Other races,Male,80+,1404
Colon and Rectum,5-year Limited Duration,Other races,Female,All Ages,11432
Colon and Rectum,5-year Limited Duration,Other races,Female,All Ages (Age-Adjusted)
Colon and Rectum,5-year Limited Duration,Other races,Female,0-19,14
Colon and Rectum,5-year Limited Duration,Other races,Female,20-29,82
Colon and Rectum,5-year Limited Duration,Other races,Female,30-39,366
Colon and Rectum,5-year Limited Duration,Other races,Female,40-49,1140
Colon and Rectum,5-year Limited Duration,Other races,Female,50-59,2524
Colon and Rectum,5-year Limited Duration,Other races,Female,60-69,3017
Colon and Rectum,5-year Limited Duration,Other races,Female,70-79,2454
Colon and Rectum,5-year Limited Duration,Other races,Female,80+,1834
